DATAFLOW,LAST UPDATE,freq,unit,quantile,reason,age,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TESPM110(1.0),11/07/23 23:00:00,A,PC,TOTAL,TOOEFW,Y_GE16,T,FI,2019,4.6,
ESTAT:TESPM110(1.0),11/07/23 23:00:00,A,PC,TOTAL,TOOEFW,Y_GE16,T,FI,2020,5.4,
ESTAT:TESPM110(1.0),11/07/23 23:00:00,A,PC,TOTAL,TOOEFW,Y_GE16,T,FI,2021,4.4,
ESTAT:TESPM110(1.0),11/07/23 23:00:00,A,PC,TOTAL,TOOEFW,Y_GE16,T,FI,2022,6.5,
ESTAT:TESPM110(1.0),11/07/23 23:00:00,A,PC,TOTAL,TOOEFW,Y_GE16,T,FR,2008,1.9,
ESTAT:TESPM110(1.0),11/07/23 23:00:00,A,PC,TOTAL,TOOEFW,Y_GE16,T,FR,2009,1.9,
ESTAT:TESPM110(1.0),11/07/23 23:00:00,A,PC,TOTAL,TOOEFW,Y_GE16,T,FR,2010,1.9,
ESTAT:TESPM110(1.0),11/07/23 23:00:00,A,PC,TOTAL,TOOEFW,Y_GE16,T,FR,2011,2.3,
ESTAT:TESPM110(1.0),11/07/23 23:00:00,A,PC,TOTAL,TOOEFW,Y_GE16,T,FR,2012,2.2,
ESTAT:TESPM110(1.0),11/07/23 23:00:00,A,PC,TOTAL,TOOEFW,Y_GE16,T,FR,2013,2.6,
ESTAT:TESPM110(1.0),11/07/23 23:00:00,A,PC,TOTAL,TOOEFW,Y_GE16,T,FR,2014,2.8,
ESTAT:TESPM110(1.0),11/07/23 23:00:00,A,PC,TOTAL,TOOEFW,Y_GE16,T,FR,2015,1.2,
ESTAT:TESPM110(1.0),11/07/23 23:00:00,A,PC,TOTAL,TOOEFW,Y_GE16,T,FR,2016,1.3,
